"prevalence","outcome","relative_change","lo","hi"
50.1055404994331,"Post-neonatal (1 month–5 years)",52.958376768936,35.5472978141491,72.6059124827906
51.0269214339816,"Post-neonatal (1 month–5 years)",54.1829907927507,36.3230586997366,74.3827851028358
51.9652454614113,"Post-neonatal (1 month–5 years)",55.4402010878431,37.1176480897805,76.2111329273148
52.9208241449267,"Post-neonatal (1 month–5 years)",56.7310663092711,37.9316091725021,78.092804787913
53.8939747770065,"Post-neonatal (1 month–5 years)",58.0566871546206,38.7655041563669,80.0297307761943
54.8850204847588,"Post-neonatal (1 month–5 years)",59.4182083483545,39.6199150658466,82.02392646503
55.8942903372121,"Post-neonatal (1 month–5 years)",60.8168207340141,40.495444575768,84.0774973814104
56.922119454581,"Post-neonatal (1 month–5 years)",62.2537634808704,41.3927168863625,86.1926437474479
57.9688491195396,"Post-neonatal (1 month–5 years)",63.7303264120768,42.3123786412593,88.371665507621
59.034826890542,"Post-neonatal (1 month–5 years)",65.2478524618465,43.2550998908049,90.6169676616512
60.1204067172266,"Post-neonatal (1 month–5 years)",66.807740269706,44.2215751032341,92.9310659238648
61.2259490579419,"Post-neonatal (1 month–5 years)",68.4114469204231,45.2125242263795,95.3165927314563
62.3518209994343,"Post-neonatal (1 month–5 years)",70.0604908388115,46.2286938027685,97.7763036257795
63.498396378736,"Post-neonatal (1 month–5 years)",71.7564548492548,47.2708581411404,100.313084032632
64.6660559072952,"Post-neonatal (1 month–5 years)",73.5009894104906,48.3398205476034,102.929956469504
65.8551872973876,"Post-neonatal (1 month–5 years)",75.2958160369348,49.4364146198576,105.630088209916
67.0661853908543,"Post-neonatal (1 month–5 years)",77.1427309186397,50.5615056081289,108.416799437342
68.2994522902049,"Post-neonatal (1 month–5 years)",79.0436087528393,51.715991846691,111.293571923736
69.5553974921334,"Post-neonatal (1 month–5 years)",81.0004068009767,52.9008062601042,114.264058270485
70.8344380234877,"Post-neonatal (1 month–5 years)",83.0151691861159,54.1169179485667,117.332091752579
72.1369985797406,"Post-neonatal (1 month–5 years)",85.0900314467304,55.3653338570637,120.501696810109
73.4635116660064,"Post-neonatal (1 month–5 years)",87.2272253640398,56.6471005333027,123.777100234706
74.814417740651,"Post-neonatal (1 month–5 years)",89.4290840813387,57.963305979758,127.162743102459
76.1901653615426,"Post-neonatal (1 month–5 years)",91.698047535134,59.3150816054997,130.663293509018
77.5912113349916,"Post-neonatal (1 month–5 years)",94.0366682194021,60.7036042838585,134.283660167216
79.0180208674303,"Post-neonatal (1 month–5 years)",96.4476173058808,62.1300985223929,138.029006932526
80.4710677198801,"Post-neonatal (1 month–5 years)",98.9336911450575,63.5958387520538,141.904768327124
81.9508343652612,"Post-neonatal (1 month–5 years)",101.497818174406,65.102151742919,145.916666139315
83.4578121485932,"Post-neonatal (1 month–5 years)",104.143066262465,66.6504191543705,150.070727181535
84.9925014501428,"Post-neonatal (1 month–5 years)",106.872650519581,68.2420802281338,154.373302297293
86.5554118515709,"Post-neonatal (1 month–5 years)",109.689941608534,69.8786346331795,158.831086715142
1.11157823881681,"All under-5",0.0661832917307592,0.043967902032982,0.0884036144949363
1.13201883253751,"All under-5",0.0783124970311633,0.0520247039252242,0.104607197024476
1.15283530431794,"All under-5",0.0906662549092774,0.0602303276059368,0.12111144009328
1.17403456610586,"All under-5",0.103248750893914,0.0685875345368014,0.137921973015764
1.19562365695148,"All under-5",0.116064249580328,0.0770991378834518,0.155044532379711
1.21760974534469,"All under-5",0.129117096162745,0.0857680035005748,0.172484964160025
1.24000013159536,"All under-5",0.142411717997937,0.0945970509367733,0.190249225876227
1.26280225025731,"All under-5",0.155952626200695,0.103589254458814,0.208343388795584
1.28602367259693,"All under-5",0.169744417271711,0.112747644096478,0.226773640182154
